,state,rep_votes_share,dem_votes_share,maskActual,predR,predRMask,year,margin,error margin,predMargin,errors
47,Wisconsin,0.5511184419533448,0.4437696665758978,1,0.54963875,1,2010,0.10734877537744703,0.001479693784399494,0.0992775,1.0
48,West Virginia,0.554045273240407,0.4459547267595931,1,0.55363494,1,2010,0.1080905464808139,0.00041033166249559994,0.10726988,1.0
49,Wyoming,0.742048932248956,0.2579510677510441,1,0.7401873,1,2010,0.48409786449791187,0.00186164491832852,0.48037457,1.0
50,Alaska,0.690828154,0.309171846,1,0.68636197,1,2012,0.381656308,0.004466185482696505,0.37272394,1.0
51,Alabama,0.640137988,0.359862012,1,0.64077795,1,2012,0.280275976,0.0006399575184936612,0.2815559,1.0
52,Arkansas,0.676588908,0.323411092,1,0.67493796,1,2012,0.35317781600000003,0.001650944514282271,0.34987593,1.0
53,Arizona,0.544420268,0.455579732,1,0.5427459,1,2012,0.08884053599999997,0.0016743797668151705,0.08549178,1.0
54,California,0.379948024,0.620051976,0,0.37989622,0,2012,-0.24010395199999995,5.1800454925532424e-05,-0.24020755,-1.0
55,Colorado,0.514308557,0.485691443,1,0.51316214,1,2012,0.028617114,0.0011464209221191402,0.026324272,1.0
56,Connecticut,0.354289197,0.638698393,0,0.35649505,0,2012,-0.284409196,0.0022058555760650633,-0.28700992,-1.0
57,Delaware,0.341744581,0.658255419,0,0.3418476,0,2012,-0.31651083799999996,0.0001030175527038657,-0.3163048,-1.0
58,Florida,0.530068185,0.469931815,1,0.53102374,1,2012,0.060136369999999995,0.0009555557684326477,0.06204748,1.0
59,Georgia,0.592208709,0.407791291,1,0.58992195,1,2012,0.184417418,0.0022867577060546873,0.1798439,1.0
60,Hawaii,0.325487115,0.674512885,0,0.3249332,0,2012,-0.34902576999999996,0.0005539139253997738,-0.35013363,-1.0
61,Iowa,0.484694694,0.515305306,0,0.4859076,0,2012,-0.030610612000000037,0.0012129202311096376,-0.028184772,-1.0
62,Idaho,0.653287684,0.334496514,1,0.65083736,1,2012,0.31879117,0.0024503221874084824,0.30167472,1.0
63,Illinois,0.439334592,0.545970365,0,0.43982252,0,2012,-0.10663577299999993,0.00048793278599545964,-0.12035492,-1.0
64,Indiana,0.541936581,0.458063419,1,0.5435949,1,2012,0.08387316199999995,0.0016583157933655057,0.08718979,1.0
65,Kansas,0.791235534,0.208764466,1,0.7849887,1,2012,0.582471068,0.006246832656463641,0.5699774,1.0
66,Kentucky,0.593250017,0.395320656,1,0.59587204,1,2012,0.19792936100000003,0.0026220275632934387,0.19174409,1.0
67,Louisiana,0.7608934,0.2391066,1,0.7575409,1,2012,0.5217868000000001,0.003352518366241508,0.51508176,1.0
68,Massachusetts,0.24368823,0.726762297,0,0.24574658,0,2012,-0.48307406699999994,0.0020583527465057316,-0.5085068,-1.0
69,Maryland,0.343343722,0.656656278,0,0.34657535,0,2012,-0.313312556,0.003231627569320661,-0.30684927,-1.0
70,Maine,0.383369295,0.616630705,0,0.38499358,0,2012,-0.23326140999999995,0.0016242879639434826,-0.23001286,-1.0
71,Michigan,0.472684878,0.527315122,0,0.47272658,0,2012,-0.054630243999999994,4.170548083498593e-05,-0.054546833,-1.0
72,Minnesota,0.581872014,0.418127986,1,0.58161163,1,2012,0.16374402799999999,0.00026038069921874296,0.16322327,1.0
73,Missouri,0.566591822,0.433408178,1,0.5665536,1,2012,0.13318364400000005,3.8229318115257094e-05,0.13310719,1.0
74,Mississippi,0.628448659,0.367438404,1,0.6285718,1,2012,0.261010255,0.00012314933816526263,0.25714362,1.0
75,Montana,0.554874274,0.445125726,1,0.5560652,1,2012,0.109748548,0.0011909277593383782,0.1121304,1.0
76,North Carolina,0.490679652,0.509320348,0,0.49641338,0,2012,-0.018640696000000012,0.0057337279076080105,-0.00717327,-1.0
77,North Dakota,0.568283381,0.431716619,1,0.5683755,1,2012,0.13656676199999995,9.214685873415451e-05,0.13675106,1.0
78,Nebraska,0.642416005,0.357583995,1,0.64335096,1,2012,0.28483200999999997,0.0009349538241577582,0.28670192,1.0
79,New Hampshire,0.47755842,0.52244158,0,0.4752733,0,2012,-0.04488315999999998,0.0022851088618469073,-0.049453378,-1.0
80,New Jersey,0.443138292,0.555904065,0,0.44313303,0,2012,-0.11276577300000001,5.2656385345351e-06,-0.11373398,-1.0
