,AT&T,Adidas,Aldi,Allstate,Amazon ,American Airlines,Apple,Bank of America,Best Buy,Burger King,CVS,Capital one,Charter,Chick-Fil-A ,Clorox,Coca-Cola,Comcast,Coors,Costco ,Dell,Delta,Dicks sporting goods,Dish,Disney,Dominos,EA,Ebay,Facebook,Fedex,Fidelty,Ford,Forever 21,Fox,Gamestop,General Mills,Goldman Sachs,Google,Goya,HP,Hershey,Hobby Lobby,Honda,Hulu,Hyundai,Ikea,Johnson & Johnson,Jp Morgan Chase,Kaiser Permanente,Kohls,Kroger ,L L Bean,LG,Lowe's,MLB,Mastercard,Mcdonalds ,Microsoft,NBA,NFL,Nestle,Netflix ,Nike,Nintendo,Nordstrom,Papa Johns,Paypal,Pepsi,Progressive,Publix,REI,Samsung,Sears,Shell,Sony,Southwest Airlines,Starbucks,State Farm,Subaru,T-Mobile,Target,The Home Depot,Toyota,Twitter ,UPS,USAA,United Airlines ,United HealthCare,Verizon,Volkswagon,Walgreens,Wegmans ,Wells Fargo ,Wendys,kraft
Hawaii,37,54,2,32,72,64,76,16,69,40,13,15,23,5,91,14,3,2,100,38,53,9,30,32,53,72,53,40,58,0,33,47,35,42,6,14,76,48,65,2,2,89,54,37,20,13,15,61,4,0,0,56,28,40,80,81,51,92,70,34,79,54,54,62,18,75,12,30,0,14,91,99,56,100,12,76,34,22,59,56,53,100,38,70,64,100,35,45,48,21,1,8,19,35
Iowa,16,53,53,25,74,35,64,17,79,58,11,21,11,16,53,38,2,3,17,47,34,53,92,26,50,48,68,81,55,36,64,27,51,55,40,9,78,21,80,3,63,67,93,43,29,38,14,1,64,1,10,81,33,56,39,73,49,51,66,58,83,63,65,22,31,73,23,76,0,12,85,61,77,57,15,41,60,25,15,57,32,53,50,83,14,20,65,60,57,51,0,51,29,65
Idaho,21,31,2,45,93,17,61,15,74,42,4,19,41,19,44,22,3,4,61,36,44,45,95,23,81,56,68,75,60,0,64,22,65,45,12,10,75,19,100,3,35,80,98,43,26,27,14,6,28,2,9,87,43,37,32,60,57,49,61,39,87,48,67,18,18,71,21,46,0,34,95,59,45,55,29,47,38,67,30,31,64,79,33,88,36,24,29,73,75,43,0,64,34,41
Illinois,55,76,100,100,76,62,74,46,88,72,33,24,35,17,55,27,53,2,30,48,30,79,63,30,48,58,59,63,76,65,51,65,54,71,24,20,78,40,72,4,43,71,64,74,72,43,44,2,65,7,11,74,26,85,57,98,54,77,56,69,75,70,72,69,25,72,21,53,0,18,77,97,57,73,36,71,93,27,39,61,64,54,50,95,19,54,50,40,63,100,1,14,54,85
Indiana,54,62,70,45,74,32,61,14,85,84,60,23,16,29,50,38,45,2,18,47,35,84,66,33,48,49,69,78,71,55,60,39,59,76,18,9,76,28,76,4,51,78,80,59,63,39,25,1,71,50,11,90,53,45,42,100,55,70,54,68,73,60,75,26,75,80,19,69,0,9,84,71,57,64,38,60,63,29,19,43,37,51,45,86,16,19,40,53,60,49,1,14,70,60
Kansas,48,67,60,32,80,34,69,45,73,52,25,21,10,27,59,36,3,4,19,47,31,68,67,24,42,52,65,70,71,64,64,30,61,64,18,9,77,22,81,3,66,73,91,60,58,66,20,2,47,5,9,100,39,40,41,82,58,48,63,47,83,63,69,30,39,75,19,55,0,12,95,69,44,61,47,51,47,23,33,48,53,58,45,89,38,20,56,49,57,54,1,14,41,55
Kentucky,69,57,33,37,79,26,63,11,69,67,25,22,12,37,67,39,5,2,16,47,38,69,77,33,72,53,75,83,63,41,72,25,51,100,10,7,74,23,78,4,68,76,83,72,34,30,18,1,55,100,12,98,78,32,45,100,52,59,42,47,77,59,74,17,100,86,19,65,1,6,85,62,54,57,17,48,88,21,20,37,38,74,46,92,32,11,36,42,69,52,1,7,76,61
Louisiana,94,69,4,80,73,35,65,16,85,92,39,100,62,31,70,44,7,2,13,39,45,31,67,38,88,58,61,73,69,40,56,70,51,87,8,10,61,24,81,3,70,92,69,61,19,31,38,1,19,8,8,75,60,26,49,83,49,81,71,35,72,69,62,21,43,100,10,92,1,5,80,75,87,60,27,40,99,10,17,40,60,69,39,88,47,23,71,52,59,81,0,11,63,37
Massachusetts,29,69,13,17,77,49,79,99,75,57,81,28,51,11,48,25,73,2,15,60,41,77,36,32,55,56,50,56,66,100,36,58,43,57,12,30,80,75,65,6,9,83,61,66,76,48,27,2,42,1,37,63,34,79,78,57,60,81,57,52,80,62,67,58,6,64,10,48,0,31,70,89,62,80,17,47,8,44,28,52,57,66,61,82,21,24,32,68,65,35,50,8,42,100
Maryland,34,68,69,54,87,42,72,91,86,69,58,58,24,49,59,24,57,2,31,57,31,74,44,29,64,52,53,57,78,34,44,74,49,73,14,17,71,50,72,32,15,89,59,85,88,38,31,69,44,1,15,69,40,46,47,76,59,77,75,60,71,70,66,74,53,87,12,56,1,27,79,94,61,71,32,54,56,32,33,54,61,68,57,88,69,28,57,92,66,26,82,42,44,40
Maine,21,34,4,34,91,36,72,40,65,42,20,20,16,8,55,21,10,2,2,35,35,72,52,28,56,56,76,87,55,0,56,31,57,36,31,13,83,30,76,6,17,71,100,45,31,37,17,1,43,0,100,58,59,79,100,60,44,57,65,61,96,45,48,15,11,77,17,55,0,13,77,67,48,52,16,21,37,71,25,36,60,69,43,81,29,20,28,52,82,18,3,6,25,63
Michigan,49,59,61,46,80,26,69,40,89,87,39,23,100,14,49,32,47,2,32,47,75,77,62,28,42,49,67,73,66,49,100,50,67,75,16,11,69,23,83,4,35,56,74,34,61,31,27,1,66,41,12,84,41,39,56,92,51,67,47,59,75,66,74,43,16,80,21,90,0,18,79,96,57,67,20,47,63,29,23,44,58,34,45,84,20,18,29,57,48,42,1,7,61,72
Minnesota,28,54,79,24,79,28,100,16,95,62,22,24,51,17,44,30,33,3,33,53,90,72,69,22,78,48,57,63,68,56,55,38,58,48,100,12,70,24,85,3,37,74,79,55,80,56,18,2,61,1,14,76,18,49,40,73,55,66,84,47,79,54,64,41,23,67,14,78,0,44,78,70,57,80,19,48,58,38,35,100,50,54,49,83,18,21,41,56,61,55,1,96,29,55
Missouri,60,62,86,23,75,38,63,53,77,64,28,23,86,33,54,37,4,2,19,48,31,68,72,28,69,48,62,72,68,47,65,43,73,71,26,10,78,21,75,3,67,70,81,64,63,39,21,2,54,2,11,87,52,71,77,89,52,55,57,66,76,63,66,35,46,82,18,64,0,12,83,71,64,60,63,52,65,23,28,46,49,52,44,87,33,20,63,37,62,71,1,14,45,61
Mississippi,100,69,12,44,72,22,68,13,77,78,25,29,16,41,72,45,27,1,3,30,70,41,99,34,100,46,74,88,76,0,66,41,53,88,5,8,61,21,82,3,65,95,73,70,16,32,16,1,21,43,17,75,69,33,52,86,44,99,67,31,76,87,58,13,43,99,14,48,1,4,79,61,100,38,13,31,65,9,11,31,48,79,37,81,35,11,57,36,67,62,1,21,74,38
Montana,25,26,2,29,94,13,52,17,52,46,13,19,75,8,57,22,3,3,65,43,56,12,67,14,56,45,72,87,58,0,70,16,73,35,18,8,70,16,67,3,32,73,76,31,22,32,15,3,18,1,10,58,42,44,49,52,41,45,71,29,90,31,46,17,25,62,18,59,0,63,90,50,41,56,6,28,51,64,16,41,45,78,32,88,46,37,26,87,62,22,0,58,35,48
North Carolina,50,61,57,64,76,69,69,68,82,65,46,26,63,58,86,43,4,2,17,47,38,79,61,31,86,52,65,79,70,58,55,48,60,75,12,15,74,34,78,5,49,99,76,74,50,56,21,2,38,5,14,78,86,37,62,77,52,71,65,38,72,61,60,31,68,82,23,59,12,25,81,72,60,63,16,50,61,28,20,46,39,75,45,87,67,18,59,70,59,47,5,74,66,50
North Dakota,31,35,19,29,83,19,57,11,88,60,18,20,10,18,48,27,2,5,14,36,58,30,63,18,63,57,65,76,52,0,77,30,54,39,14,9,60,15,73,3,50,72,71,37,22,41,0,2,37,1,0,60,26,35,45,56,55,57,97,33,77,39,54,13,42,56,19,67,0,8,81,53,41,55,5,34,43,34,9,57,22,47,38,92,33,32,20,81,40,8,0,53,25,72
Nebraska,13,70,33,34,72,32,65,10,70,85,16,19,25,19,64,27,2,4,26,46,32,54,87,24,49,47,62,71,58,0,66,29,56,51,12,10,68,22,73,6,78,75,94,46,22,36,15,2,55,2,11,65,27,46,43,74,49,52,56,49,76,62,64,14,18,77,24,56,0,8,76,66,40,49,51,52,52,34,9,55,36,52,53,81,25,27,57,79,75,64,1,52,35,57
New Hampshire,18,36,18,43,96,32,76,59,86,41,42,28,22,12,55,24,100,1,6,48,35,71,37,34,58,58,64,71,64,65,50,29,55,52,12,18,74,39,86,6,26,94,70,64,38,42,24,1,56,1,35,60,51,76,66,45,57,53,61,60,83,48,51,18,6,76,13,50,1,15,81,100,44,58,26,27,27,75,18,44,75,78,44,90,31,17,38,74,97,32,5,6,30,75
New Jersey,33,82,36,39,81,38,78,83,83,58,55,35,30,18,65,23,45,2,33,54,26,63,36,37,53,69,53,53,71,68,35,75,40,67,14,48,91,91,73,23,20,88,50,81,78,69,48,2,52,1,10,74,35,76,63,52,54,80,63,60,72,70,77,63,17,72,13,64,0,15,87,83,56,80,12,46,25,36,36,49,76,54,54,93,23,82,81,89,63,40,58,50,46,45
New Mexico,27,42,3,40,73,51,61,61,76,46,18,23,23,30,69,25,35,100,32,38,24,35,81,22,94,50,69,86,66,0,62,31,50,72,25,8,67,26,83,3,72,69,72,64,22,20,12,2,29,2,10,92,52,46,38,76,46,57,85,31,78,50,61,13,17,76,15,60,0,30,87,69,57,48,100,68,43,34,46,38,65,69,36,84,55,23,54,79,63,74,0,100,41,34
Nevada,45,76,4,39,73,50,69,96,84,64,43,28,50,20,55,23,3,2,46,41,38,24,55,29,59,58,57,59,71,54,42,62,54,76,6,11,74,32,67,3,26,68,71,83,76,27,19,7,34,2,3,93,32,86,58,76,50,94,77,45,73,62,77,33,16,91,14,66,0,20,97,66,49,83,93,84,43,34,64,43,65,73,48,83,37,36,49,37,57,61,1,100,30,33
New York,37,100,26,52,83,45,85,56,90,57,52,41,36,11,64,27,10,2,19,51,60,58,44,31,42,89,56,53,78,46,32,87,39,66,17,100,75,100,69,14,14,69,60,61,83,43,62,3,38,1,14,76,34,75,91,61,60,78,53,74,76,100,74,57,13,75,19,58,1,17,82,71,48,96,16,51,34,36,45,51,73,48,58,95,21,31,85,71,50,30,100,15,42,64
Ohio,46,54,67,57,76,31,67,14,85,88,40,25,20,25,53,29,5,2,20,45,38,100,53,31,58,60,65,75,68,53,57,47,62,89,17,9,68,27,71,8,44,96,79,75,60,29,37,1,74,67,13,82,56,47,51,96,52,80,64,65,73,63,73,34,49,78,24,100,0,16,77,78,55,63,24,53,56,31,18,49,49,50,50,81,21,24,60,62,60,41,2,8,100,62
Oklahoma,80,58,45,39,69,49,63,37,85,49,26,23,22,41,61,41,2,3,7,58,29,38,96,27,59,52,61,76,61,57,70,28,54,74,8,7,64,18,82,3,100,77,82,75,27,34,27,1,36,1,9,98,65,26,49,86,53,74,44,40,77,61,70,19,32,86,16,57,0,7,92,61,54,67,46,48,69,23,28,43,46,60,37,79,45,18,47,36,63,66,0,10,28,43
Oregon,31,73,3,31,82,23,68,46,72,47,4,20,49,7,48,24,47,3,62,71,42,38,73,23,57,57,58,59,66,36,54,36,53,50,9,10,70,28,97,3,20,94,81,53,96,32,20,89,23,3,8,95,28,35,41,59,69,73,45,47,83,96,80,69,9,79,14,73,0,73,93,68,69,93,32,63,48,71,28,38,65,88,43,82,34,32,37,54,87,33,1,47,22,45
Pennsylvania,41,62,57,53,81,61,70,32,81,70,54,27,48,27,64,27,73,2,17,49,27,99,52,35,50,61,68,70,71,35,52,56,59,82,14,17,68,51,69,100,22,83,64,81,68,44,24,2,57,2,15,78,59,66,69,71,52,70,81,49,69,64,70,44,21,80,20,65,0,17,76,80,46,65,20,46,58,53,26,55,60,59,52,87,26,22,48,81,61,21,80,43,58,67
Rhode Island,22,55,30,45,78,35,70,100,75,56,100,21,29,11,50,19,7,2,3,40,29,68,28,36,80,56,59,63,57,0,38,45,39,59,12,24,91,81,57,8,14,80,60,75,50,85,25,2,52,1,30,55,42,81,60,43,51,73,66,49,83,62,56,47,8,65,12,69,0,22,71,50,55,58,24,30,8,42,31,48,67,70,55,85,33,17,85,95,90,32,6,7,46,82
South Carolina,57,61,54,77,79,48,65,73,78,72,59,25,78,67,84,39,11,2,19,45,39,51,65,33,74,48,66,82,67,45,53,45,66,87,11,9,82,32,73,4,57,90,72,71,37,49,15,1,36,10,14,85,82,40,51,73,52,69,61,48,71,65,60,24,61,89,17,68,32,10,84,56,60,58,11,51,83,19,25,39,49,70,38,89,69,16,39,73,57,43,2,75,56,59
South Dakota,31,37,29,18,75,26,55,9,66,66,4,17,7,14,42,26,2,4,16,100,34,34,67,19,50,46,68,87,44,0,72,22,63,41,19,5,75,17,67,3,48,67,68,32,19,43,9,2,36,1,0,65,30,38,33,52,41,56,96,32,76,44,51,15,21,54,21,57,0,10,84,53,38,49,7,31,53,34,12,45,21,37,40,75,29,28,23,76,37,28,0,78,22,54
Tennessee,58,57,56,32,77,36,68,46,76,79,30,24,58,52,61,41,45,2,16,47,43,57,66,31,73,47,72,81,100,34,63,40,59,84,22,10,58,22,77,4,70,86,74,70,40,65,15,2,39,64,14,93,70,33,43,82,50,58,50,35,72,70,67,27,71,88,13,58,19,20,83,70,76,68,26,51,67,27,20,46,50,74,44,85,41,17,61,69,76,80,1,17,58,45
Texas,86,75,25,63,69,69,69,61,100,57,42,31,25,58,70,29,12,3,21,68,26,40,65,27,74,64,50,63,77,49,57,62,47,80,9,20,72,35,75,3,70,70,66,71,57,32,34,2,33,24,7,95,43,42,51,71,54,75,61,61,74,67,77,40,35,77,14,65,1,17,93,78,74,72,64,68,56,19,46,47,100,77,43,87,71,39,77,38,53,59,1,53,39,45
Utah,30,56,2,40,80,26,76,12,78,49,12,16,19,32,57,30,36,2,66,63,81,33,69,33,67,56,51,52,72,17,50,29,56,55,10,39,80,21,82,3,51,80,84,81,87,27,20,3,32,3,10,98,35,32,35,65,62,100,49,57,83,58,100,45,29,68,15,44,0,45,89,38,61,82,19,48,34,58,42,43,66,70,37,87,25,19,50,49,81,38,1,51,58,35
Virginia,37,61,54,50,85,51,77,61,82,60,49,49,23,48,64,31,35,2,32,60,36,79,57,27,68,61,54,60,76,50,53,55,54,72,11,18,81,42,85,15,23,94,66,79,63,45,34,33,39,24,19,78,56,44,66,70,68,63,69,53,75,63,72,47,50,78,17,60,4,26,82,72,67,72,16,59,47,37,24,49,46,74,54,86,93,36,46,92,65,29,83,57,54,43
Vermont,35,38,12,28,100,37,70,20,51,32,18,21,21,4,52,21,48,2,23,42,28,74,61,17,47,49,72,77,50,0,51,28,49,38,11,22,79,39,59,6,9,82,73,51,38,34,24,1,27,0,52,55,31,81,74,44,40,51,58,40,100,31,44,17,4,61,12,73,0,18,51,77,48,54,13,19,24,100,9,18,58,91,41,85,29,31,25,49,100,13,6,6,15,55
Washington,35,61,3,35,97,26,78,75,71,50,7,20,29,12,52,22,61,2,86,66,49,40,60,22,61,100,55,63,66,57,48,42,48,57,7,13,69,25,76,2,29,87,73,59,96,26,20,100,20,2,9,92,36,48,31,65,100,53,61,42,78,62,85,100,18,77,11,55,0,84,92,72,60,86,26,98,43,70,100,42,55,84,49,88,50,26,40,50,69,34,1,37,31,37
Wisconsin,42,57,69,26,81,33,68,13,92,61,15,24,86,14,48,28,4,4,26,46,42,80,68,27,58,47,65,73,63,28,57,34,100,63,27,10,76,31,82,4,54,78,82,60,64,54,24,1,100,2,13,79,17,100,39,90,52,67,75,65,74,58,68,26,19,74,17,74,0,25,84,67,69,66,32,54,42,37,14,56,48,54,42,90,14,27,58,46,65,85,1,23,28,59
West Virginia,72,34,40,39,78,17,68,13,66,60,37,21,9,38,68,36,35,2,5,34,17,78,99,33,65,53,100,100,55,0,80,24,56,97,12,8,52,17,78,14,35,90,75,58,22,33,21,2,55,53,14,84,100,35,51,92,61,47,56,37,75,53,68,12,57,99,22,52,0,7,88,75,37,42,9,31,65,60,7,34,40,76,45,80,30,12,29,37,67,15,4,8,63,46
Wyoming,26,32,3,39,90,18,53,14,38,45,3,21,71,16,45,30,3,11,10,54,31,34,80,17,82,49,63,86,59,0,73,17,74,44,0,8,78,23,67,2,38,49,75,27,23,16,0,3,24,3,0,55,19,36,41,56,40,40,79,29,81,36,46,14,24,64,45,61,0,25,70,56,51,52,21,38,54,45,9,18,64,54,21,71,43,48,30,84,65,28,0,62,44,40
District of Columbia,29,50,26,31,75,100,77,87,62,24,86,69,41,27,51,33,42,2,26,49,45,25,29,17,32,50,31,40,99,87,26,57,48,25,18,62,83,57,55,9,4,42,53,36,100,100,91,53,8,1,12,38,14,41,72,39,86,74,51,100,77,66,33,98,27,66,10,46,1,38,57,36,41,54,21,68,32,15,49,39,39,37,100,87,58,54,71,74,49,13,25,42,20,44
